GEOID,NAME,NAMELSAD,uni.freq
10100,"Aberdeen, SD","Aberdeen, SD Micro Area",0
10140,"Aberdeen, WA","Aberdeen, WA Micro Area",0
10180,"Abilene, TX","Abilene, TX Metro Area",0
10220,"Ada, OK","Ada, OK Micro Area",0
10260,"Adjuntas, PR","Adjuntas, PR Micro Area",0
10300,"Adrian, MI","Adrian, MI Micro Area",0
10380,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR Metro Area",0
10420,"Akron, OH","Akron, OH Metro Area",2
10460,"Alamogordo, NM","Alamogordo, NM Micro Area",0
10500,"Albany, GA","Albany, GA Metro Area",0
10540,"Albany, OR","Albany, OR Metro Area",0
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",2
10620,"Albemarle, NC","Albemarle, NC Micro Area",0
10660,"Albert Lea, MN","Albert Lea, MN Micro Area",0
10700,"Albertville, AL","Albertville, AL Micro Area",0
10740,"Albuquerque, NM","Albuquerque, NM Metro Area",1
10780,"Alexandria, LA","Alexandria, LA Metro Area",0
10820,"Alexandria, MN","Alexandria, MN Micro Area",0
10860,"Alice, TX","Alice, TX Micro Area",0
10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ Metro Area",1
10940,"Alma, MI","Alma, MI Micro Area",0
10980,"Alpena, MI","Alpena, MI Micro Area",0
11020,"Altoona, PA","Altoona, PA Metro Area",0
11060,"Altus, OK","Altus, OK Micro Area",0
11100,"Amarillo, TX","Amarillo, TX Metro Area",0
11140,"Americus, GA","Americus, GA Micro Area",0
11180,"Ames, IA","Ames, IA Metro Area",1
11220,"Amsterdam, NY","Amsterdam, NY Micro Area",0
11260,"Anchorage, AK","Anchorage, AK Metro Area",0
11380,"Andrews, TX","Andrews, TX Micro Area",0
11420,"Angola, IN","Angola, IN Micro Area",0
11460,"Ann Arbor, MI","Ann Arbor, MI Metro Area",2
11500,"Anniston-Oxford-Jacksonville, AL","Anniston-Oxford-Jacksonville, AL Metro Area",0
11540,"Appleton, WI","Appleton, WI Metro Area",0
11580,"Arcadia, FL","Arcadia, FL Micro Area",0
11620,"Ardmore, OK","Ardmore, OK Micro Area",0
11640,"Arecibo, PR","Arecibo, PR Metro Area",0
11660,"Arkadelphia, AR","Arkadelphia, AR Micro Area",0
11680,"Arkansas City-Winfield, KS","Arkansas City-Winfield, KS Micro Area",0
11700,"Asheville, NC","Asheville, NC Metro Area",0
11740,"Ashland, OH","Ashland, OH Micro Area",0
11780,"Ashtabula, OH","Ashtabula, OH Micro Area",0
11820,"Astoria, OR","Astoria, OR Micro Area",0
11860,"Atchison, KS","Atchison, KS Micro Area",0
11900,"Athens, OH","Athens, OH Micro Area",1
11940,"Athens, TN","Athens, TN Micro Area",0
11980,"Athens, TX","Athens, TX Micro Area",0
12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",1
12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",5
12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",0
12140,"Auburn, IN","Auburn, IN Micro Area",0
12180,"Auburn, NY","Auburn, NY Micro Area",0
12220,"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",1
12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",0
12300,"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",0
12380,"Austin, MN","Austin, MN Micro Area",0
12420,"Austin-Round Rock, TX","Austin-Round Rock, TX Metro Area",2
12460,"Bainbridge, GA","Bainbridge, GA Micro Area",0
12540,"Bakersfield, CA","Bakersfield, CA Metro Area",0
12580,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area",3
12620,"Bangor, ME","Bangor, ME Metro Area",1
12660,"Baraboo, WI","Baraboo, WI Micro Area",0
12680,"Bardstown, KY","Bardstown, KY Micro Area",0
12700,"Barnstable Town, MA","Barnstable Town, MA Metro Area",0
12740,"Barre, VT","Barre, VT Micro Area",0
12780,"Bartlesville, OK","Bartlesville, OK Micro Area",0
12820,"Bastrop, LA","Bastrop, LA Micro Area",0
12860,"Batavia, NY","Batavia, NY Micro Area",0
12900,"Batesville, AR","Batesville, AR Micro Area",0
12940,"Baton Rouge, LA","Baton Rouge, LA Metro Area",1
12980,"Battle Creek, MI","Battle Creek, MI Metro Area",0
13020,"Bay City, MI","Bay City, MI Metro Area",0
13060,"Bay City, TX","Bay City, TX Micro Area",0
13100,"Beatrice, NE","Beatrice, NE Micro Area",0
13140,"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX Metro Area",0
13180,"Beaver Dam, WI","Beaver Dam, WI Micro Area",0
13220,"Beckley, WV","Beckley, WV Metro Area",0
13260,"Bedford, IN","Bedford, IN Micro Area",0
13300,"Beeville, TX","Beeville, TX Micro Area",0
13340,"Bellefontaine, OH","Bellefontaine, OH Micro Area",0
13380,"Bellingham, WA","Bellingham, WA Metro Area",0
13420,"Bemidji, MN","Bemidji, MN Micro Area",0
13460,"Bend-Redmond, OR","Bend-Redmond, OR Metro Area",0
13500,"Bennettsville, SC","Bennettsville, SC Micro Area",0
13540,"Bennington, VT","Bennington, VT Micro Area",0
13620,"Berlin, NH-VT","Berlin, NH-VT Micro Area",0
13660,"Big Rapids, MI","Big Rapids, MI Micro Area",0
13700,"Big Spring, TX","Big Spring, TX Micro Area",0
13720,"Big Stone Gap, VA","Big Stone Gap, VA Micro Area",0
13740,"Billings, MT","Billings, MT Metro Area",0
13780,"Binghamton, NY","Binghamton, NY Metro Area",1
13820,"Birmingham-Hoover, AL","Birmingham-Hoover, AL Metro Area",1
13900,"Bismarck, ND","Bismarck, ND Metro Area",0
13940,"Blackfoot, ID","Blackfoot, ID Micro Area",0
13980,"Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg-Radford, VA Metro Area",1
14010,"Bloomington, IL","Bloomington, IL Metro Area",1
14020,"Bloomington, IN","Bloomington, IN Metro Area",1
14100,"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA Metro Area",0
14140,"Bluefield, WV-VA","Bluefield, WV-VA Micro Area",0
14180,"Blytheville, AR","Blytheville, AR Micro Area",0
14220,"Bogalusa, LA","Bogalusa, LA Micro Area",0
14260,"Boise City, ID","Boise City, ID Metro Area",1
14340,"Boone, IA","Boone, IA Micro Area",0
14380,"Boone, NC","Boone, NC Micro Area",0
14420,"Borger, TX","Borger, TX Micro Area",0
14460,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",10
14500,"Boulder, CO","Boulder, CO Metro Area",1
14540,"Bowling Green, KY","Bowling Green, KY Metro Area",0
14580,"Bozeman, MT","Bozeman, MT Micro Area",1
14620,"Bradford, PA","Bradford, PA Micro Area",0
14660,"Brainerd, MN","Brainerd, MN Micro Area",0
14700,"Branson, MO","Branson, MO Micro Area",0
14720,"Breckenridge, CO","Breckenridge, CO Micro Area",0
14740,"Bremerton-Silverdale, WA","Bremerton-Silverdale, WA Metro Area",0
14780,"Brenham, TX","Brenham, TX Micro Area",0
14820,"Brevard, NC","Brevard, NC Micro Area",0
14860,"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT Metro Area",0
15020,"Brookhaven, MS","Brookhaven, MS Micro Area",0
15060,"Brookings, OR","Brookings, OR Micro Area",0
15100,"Brookings, SD","Brookings, SD Micro Area",1
15180,"Brownsville-Harlingen, TX","Brownsville-Harlingen, TX Metro Area",0
15220,"Brownwood, TX","Brownwood, TX Micro Area",0
15260,"Brunswick, GA","Brunswick, GA Metro Area",0
15340,"Bucyrus, OH","Bucyrus, OH Micro Area",0
15380,"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1
15420,"Burley, ID","Burley, ID Micro Area",0
15460,"Burlington, IA-IL","Burlington, IA-IL Micro Area",0
15500,"Burlington, NC","Burlington, NC Metro Area",0
15540,"Burlington-South Burlington, VT","Burlington-South Burlington, VT Metro Area",1
15580,"Butte-Silver Bow, MT","Butte-Silver Bow, MT Micro Area",0
15620,"Cadillac, MI","Cadillac, MI Micro Area",0
15660,"Calhoun, GA","Calhoun, GA Micro Area",0
15680,"California-Lexington Park, MD","California-Lexington Park, MD Metro Area",0
15700,"Cambridge, MD","Cambridge, MD Micro Area",0
15740,"Cambridge, OH","Cambridge, OH Micro Area",0
15780,"Camden, AR","Camden, AR Micro Area",0
15820,"Campbellsville, KY","Campbellsville, KY Micro Area",0
15860,"CaÃ±on City, CO","CaÃ±on City, CO Micro Area",0
15900,"Canton, IL","Canton, IL Micro Area",0
15940,"Canton-Massillon, OH","Canton-Massillon, OH Metro Area",0
15980,"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL Metro Area",0
16020,"Cape Girardeau, MO-IL","Cape Girardeau, MO-IL Metro Area",0
16060,"Carbondale-Marion, IL","Carbondale-Marion, IL Metro Area",0
16100,"Carlsbad-Artesia, NM","Carlsbad-Artesia, NM Micro Area",0
16180,"Carson City, NV","Carson City, NV Metro Area",0
16220,"Casper, WY","Casper, WY Metro Area",0
16260,"Cedar City, UT","Cedar City, UT Micro Area",0
16300,"Cedar Rapids, IA","Cedar Rapids, IA Metro Area",0
16340,"Cedartown, GA","Cedartown, GA Micro Area",0
16380,"Celina, OH","Celina, OH Micro Area",0
16460,"Centralia, IL","Centralia, IL Micro Area",0
16500,"Centralia, WA","Centralia, WA Micro Area",0
16540,"Chambersburg-Waynesboro, PA","Chambersburg-Waynesboro, PA Metro Area",0
16580,"Champaign-Urbana, IL","Champaign-Urbana, IL Metro Area",1
16620,"Charleston, WV","Charleston, WV Metro Area",0
16660,"Charleston-Mattoon, IL","Charleston-Mattoon, IL Micro Area",0
16700,"Charleston-North Charleston, SC","Charleston-North Charleston, SC Metro Area",0
16740,"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC Metro Area",1
16820,"Charlottesville, VA","Charlottesville, VA Metro Area",1
16860,"Chattanooga, TN-GA","Chattanooga, TN-GA Metro Area",0
16940,"Cheyenne, WY","Cheyenne, WY Metro Area",0
16980,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",7
17020,"Chico, CA","Chico, CA Metro Area",0
17060,"Chillicothe, OH","Chillicothe, OH Micro Area",0
17140,"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN Metro Area",2
17200,"Claremont-Lebanon, NH-VT","Claremont-Lebanon, NH-VT Micro Area",1
17220,"Clarksburg, WV","Clarksburg, WV Micro Area",0
17260,"Clarksdale, MS","Clarksdale, MS Micro Area",0
17300,"Clarksville, TN-KY","Clarksville, TN-KY Metro Area",0
17340,"Clearlake, CA","Clearlake, CA Micro Area",0
17380,"Cleveland, MS","Cleveland, MS Micro Area",0
17420,"Cleveland, TN","Cleveland, TN Metro Area",0
17460,"Cleveland-Elyria, OH","Cleveland-Elyria, OH Metro Area",2
17500,"Clewiston, FL","Clewiston, FL Micro Area",0
17540,"Clinton, IA","Clinton, IA Micro Area",0
17580,"Clovis, NM","Clovis, NM Micro Area",0
17620,"Coamo, PR","Coamo, PR Micro Area",0
17640,"Coco, PR","Coco, PR Micro Area",0
17660,"Coeur d'Alene, ID","Coeur d'Alene, ID Metro Area",0
17700,"Coffeyville, KS","Coffeyville, KS Micro Area",0
17740,"Coldwater, MI","Coldwater, MI Micro Area",0
17780,"College Station-Bryan, TX","College Station-Bryan, TX Metro Area",0
17820,"Colorado Springs, CO","Colorado Springs, CO Metro Area",1
17860,"Columbia, MO","Columbia, MO Metro Area",1
17900,"Columbia, SC","Columbia, SC Metro Area",1
17980,"Columbus, GA-AL","Columbus, GA-AL Metro Area",0
18020,"Columbus, IN","Columbus, IN Metro Area",0
18060,"Columbus, MS","Columbus, MS Micro Area",0
18100,"Columbus, NE","Columbus, NE Micro Area",0
18140,"Columbus, OH","Columbus, OH Metro Area",1
18180,"Concord, NH","Concord, NH Micro Area",0
18220,"Connersville, IN","Connersville, IN Micro Area",0
18260,"Cookeville, TN","Cookeville, TN Micro Area",1
18300,"Coos Bay, OR","Coos Bay, OR Micro Area",0
18380,"Cordele, GA","Cordele, GA Micro Area",0
18420,"Corinth, MS","Corinth, MS Micro Area",0
18460,"Cornelia, GA","Cornelia, GA Micro Area",0
18500,"Corning, NY","Corning, NY Micro Area",0
18580,"Corpus Christi, TX","Corpus Christi, TX Metro Area",0
18620,"Corsicana, TX","Corsicana, TX Micro Area",0
18660,"Cortland, NY","Cortland, NY Micro Area",0
18700,"Corvallis, OR","Corvallis, OR Metro Area",1
18740,"Coshocton, OH","Coshocton, OH Micro Area",0
18780,"Craig, CO","Craig, CO Micro Area",0
18820,"Crawfordsville, IN","Crawfordsville, IN Micro Area",0
18860,"Crescent City, CA","Crescent City, CA Micro Area",0
18880,"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL Metro Area",0
18900,"Crossville, TN","Crossville, TN Micro Area",0
18980,"Cullman, AL","Cullman, AL Micro Area",0
19000,"Cullowhee, NC","Cullowhee, NC Micro Area",0
19060,"Cumberland, MD-WV","Cumberland, MD-WV Metro Area",0
19100,"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX Metro Area",5
19140,"Dalton, GA","Dalton, GA Metro Area",0
19180,"Danville, IL","Danville, IL Metro Area",0
19220,"Danville, KY","Danville, KY Micro Area",0
19260,"Danville, VA","Danville, VA Micro Area",0
19300,"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL Metro Area",0
19340,"Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL Metro Area",0
19380,"Dayton, OH","Dayton, OH Metro Area",3
19420,"Dayton, TN","Dayton, TN Micro Area",0
19460,"Decatur, AL","Decatur, AL Metro Area",0
19500,"Decatur, IL","Decatur, IL Metro Area",0
19540,"Decatur, IN","Decatur, IN Micro Area",0
19580,"Defiance, OH","Defiance, OH Micro Area",0
19620,"Del Rio, TX","Del Rio, TX Micro Area",0
19660,"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0
19700,"Deming, NM","Deming, NM Micro Area",0
19740,"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO Metro Area",3
19760,"DeRidder, LA","DeRidder, LA Micro Area",0
19780,"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA Metro Area",0
19820,"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI Metro Area",2
19860,"Dickinson, ND","Dickinson, ND Micro Area",0
19940,"Dixon, IL","Dixon, IL Micro Area",0
19980,"Dodge City, KS","Dodge City, KS Micro Area",0
20020,"Dothan, AL","Dothan, AL Metro Area",0
20060,"Douglas, GA","Douglas, GA Micro Area",0
20100,"Dover, DE","Dover, DE Metro Area",1
20140,"Dublin, GA","Dublin, GA Micro Area",0
20180,"DuBois, PA","DuBois, PA Micro Area",0
20220,"Dubuque, IA","Dubuque, IA Metro Area",0
20260,"Duluth, MN-WI","Duluth, MN-WI Metro Area",0
20300,"Dumas, TX","Dumas, TX Micro Area",0
20340,"Duncan, OK","Duncan, OK Micro Area",0
20380,"Dunn, NC","Dunn, NC Micro Area",0
20420,"Durango, CO","Durango, CO Micro Area",0
20460,"Durant, OK","Durant, OK Micro Area",0
20500,"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC Metro Area",3
20540,"Dyersburg, TN","Dyersburg, TN Micro Area",0
20580,"Eagle Pass, TX","Eagle Pass, TX Micro Area",0
20660,"Easton, MD","Easton, MD Micro Area",0
20700,"East Stroudsburg, PA","East Stroudsburg, PA Metro Area",0
20740,"Eau Claire, WI","Eau Claire, WI Metro Area",0
20780,"Edwards, CO","Edwards, CO Micro Area",0
20820,"Effingham, IL","Effingham, IL Micro Area",0
20900,"El Campo, TX","El Campo, TX Micro Area",0
20940,"El Centro, CA","El Centro, CA Metro Area",0
20980,"El Dorado, AR","El Dorado, AR Micro Area",0
21020,"Elizabeth City, NC","Elizabeth City, NC Micro Area",0
21060,"Elizabethtown-Fort Knox, KY","Elizabethtown-Fort Knox, KY Metro Area",0
21120,"Elk City, OK","Elk City, OK Micro Area",0
21140,"Elkhart-Goshen, IN","Elkhart-Goshen, IN Metro Area",0
21180,"Elkins, WV","Elkins, WV Micro Area",0
21220,"Elko, NV","Elko, NV Micro Area",0
21260,"Ellensburg, WA","Ellensburg, WA Micro Area",0
21300,"Elmira, NY","Elmira, NY Metro Area",0
21340,"El Paso, TX","El Paso, TX Metro Area",1
21380,"Emporia, KS","Emporia, KS Micro Area",0
21420,"Enid, OK","Enid, OK Micro Area",0
21460,"Enterprise, AL","Enterprise, AL Micro Area",0
21500,"Erie, PA","Erie, PA Metro Area",0
21540,"Escanaba, MI","Escanaba, MI Micro Area",0
21580,"EspaÃ±ola, NM","EspaÃ±ola, NM Micro Area",0
21660,"Eugene, OR","Eugene, OR Metro Area",1
21700,"Eureka-Arcata-Fortuna, CA","Eureka-Arcata-Fortuna, CA Micro Area",0
21740,"Evanston, WY","Evanston, WY Micro Area",0
21780,"Evansville, IN-KY","Evansville, IN-KY Metro Area",0
21820,"Fairbanks, AK","Fairbanks, AK Metro Area",1
21840,"Fairfield, IA","Fairfield, IA Micro Area",0
21900,"Fairmont, WV","Fairmont, WV Micro Area",0
21980,"Fallon, NV","Fallon, NV Micro Area",0
22020,"Fargo, ND-MN","Fargo, ND-MN Metro Area",1
22060,"Faribault-Northfield, MN","Faribault-Northfield, MN Micro Area",0
22100,"Farmington, MO","Farmington, MO Micro Area",0
22140,"Farmington, NM","Farmington, NM Metro Area",0
22180,"Fayetteville, NC","Fayetteville, NC Metro Area",0
22220,"Fayetteville-Springdale-Rogers, AR-MO","Fayetteville-Springdale-Rogers, AR-MO Metro Area",1
22260,"Fergus Falls, MN","Fergus Falls, MN Micro Area",0
22280,"Fernley, NV","Fernley, NV Micro Area",0
22300,"Findlay, OH","Findlay, OH Micro Area",0
22340,"Fitzgerald, GA","Fitzgerald, GA Micro Area",0
22380,"Flagstaff, AZ","Flagstaff, AZ Metro Area",1
22420,"Flint, MI","Flint, MI Metro Area",0
22500,"Florence, SC","Florence, SC Metro Area",0
22520,"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL Metro Area",0
22540,"Fond du Lac, WI","Fond du Lac, WI Metro Area",0
22580,"Forest City, NC","Forest City, NC Micro Area",0
22620,"Forrest City, AR","Forrest City, AR Micro Area",0
22660,"Fort Collins, CO","Fort Collins, CO Metro Area",1
22700,"Fort Dodge, IA","Fort Dodge, IA Micro Area",0
22780,"Fort Leonard Wood, MO","Fort Leonard Wood, MO Micro Area",0
22800,"Fort Madison-Keokuk, IA-IL-MO","Fort Madison-Keokuk, IA-IL-MO Micro Area",0
22820,"Fort Morgan, CO","Fort Morgan, CO Micro Area",0
22860,"Fort Polk South, LA","Fort Polk South, LA Micro Area",0
22900,"Fort Smith, AR-OK","Fort Smith, AR-OK Metro Area",0
23060,"Fort Wayne, IN","Fort Wayne, IN Metro Area",0
23140,"Frankfort, IN","Frankfort, IN Micro Area",0
23180,"Frankfort, KY","Frankfort, KY Micro Area",0
23240,"Fredericksburg, TX","Fredericksburg, TX Micro Area",0
23300,"Freeport, IL","Freeport, IL Micro Area",0
23340,"Fremont, NE","Fremont, NE Micro Area",0
23380,"Fremont, OH","Fremont, OH Micro Area",0
